Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","26","Brunei Darussalam","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","201.415","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","220.728","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","203.753","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","222.904","X","International reliable sources",""
"OA","Annual population","26","Brunei Darussalam","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","206.056","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","3477.208","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","3674.74","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","3451.943","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","3650.509","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","3426.089","X","International reliable sources",""
"OA","Annual population","27","Bulgaria","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","3625.521","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","9292.515","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","9353.835","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","9571.848","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","9621.388","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","9856.874","X","International reliable sources",""
"OA","Annual population","233","Burkina Faso","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","9894.592","X","International reliable sources",""
"OA","Annual population","29","Burundi","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","5195.257","X","International reliable sources",""
"OA","Annual population","29","Burundi","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","5292.745","X","International reliable sources",""
"OA","Annual population","29","Burundi","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","5365.496","X","International reliable sources",""
"OA","Annual population","29","Burundi","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","5461.514","X","International reliable sources",""
"OA","Annual population","29","Burundi","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","5540.53","X","International reliable sources",""
"OA","Annual population","29","Burundi","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","5634.849","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","266.349","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","264.791","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","269.626","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","267.873","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","272.866","X","International reliable sources",""
"OA","Annual population","35","Cabo Verde","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","270.898","X","International reliable sources",""
"OA","Annual population","115","Cambodia","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","7691.291","X","International reliable sources",""
"OA","Annual population","115","Cambodia","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","8074.999","X","International reliable sources",""
"OA","Annual population","115","Cambodia","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","7811.386","X","International reliable sources",""
"OA","Annual population","115","Cambodia","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","8198.027","X","International reliable sources",""
"OA","Annual population","115","Cambodia","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","7930.228","X","International reliable sources",""
"OA","Annual population","115","Cambodia","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","8319.567","X","International reliable sources",""
"OA","Annual population","32","Cameroon","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","11957.213","X","International reliable sources",""
"OA","Annual population","32","Cameroon","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 persons","11969.336","X","International reliable sources",""
"OA","Annual population","32","Cameroon","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 persons","12279.497","X","International reliable sources",""
"OA","Annual population","32","Cameroon","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 persons","12286.573","X","International reliable sources",""
"OA","Annual population","32","Cameroon","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 persons","12607.251","X","International reliable sources",""
"OA","Annual population","32","Cameroon","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 persons","12609.01","X","International reliable sources",""
"OA","Annual population","33","Canada","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 persons","18042.095","X","International reliable sources",""
